sensor,datetime,PM25,Temperature,RH
11,1728489864.0,4,30.69,35
11,1728489925.0,4,30.73,36
11,1728489987.0,4,30.69,35
11,1728490048.0,4,30.48,36
11,1728490110.0,3,29.96,37
11,1728490172.0,3,30.43,36
11,1728490233.0,8,30.51,36
11,1728490295.0,7,30.58,36
11,1728490356.0,6,30.67,36
11,1728490418.0,8,30.58,36
11,1728490479.0,11,30.51,36
11,1728490541.0,10,30.5,37
11,1728490602.0,8,30.68,38
11,1728490664.0,6,30.7,37
11,1728490725.0,5,30.69,38
11,1728490787.0,5,30.57,39
11,1728490849.0,5,30.71,37
11,1728490910.0,4,30.56,36
11,1728490972.0,4,30.65,37
11,1728491033.0,3,30.26,36
11,1728491095.0,4,30.53,37
11,1728491156.0,4,30.64,36
11,1728491218.0,4,30.69,36
11,1728491279.0,4,30.73,36
11,1728491341.0,6,30.81,37
11,1728491402.0,7,30.87,37
11,1728491464.0,13,30.9,36
11,1728491526.0,8,30.85,36
11,1728491587.0,6,30.73,35
11,1728491649.0,5,30.76,36
11,1728491710.0,4,30.69,35
11,1728491772.0,4,30.7,36
11,1728491833.0,4,30.72,37
11,1728491895.0,5,30.76,35
11,1728491956.0,4,30.57,37
11,1728492018.0,4,30.47,38
11,1728492079.0,5,30.45,39
11,1728492141.0,5,30.47,39
11,1728492203.0,4,30.49,39
11,1728492264.0,4,30.47,39
11,1728492326.0,4,30.53,38
11,1728492387.0,4,30.58,39
11,1728492449.0,5,30.68,39
11,1728492510.0,6,30.71,38
11,1728492572.0,6,30.76,38
11,1728492633.0,6,30.77,39
11,1728492695.0,6,30.75,38
11,1728492756.0,6,30.76,38
11,1728492818.0,6,30.71,38
11,1728492880.0,5,30.69,38
11,1728492941.0,6,30.74,37
11,1728493003.0,6,30.75,39
11,1728493064.0,6,30.83,37
11,1728493126.0,5,30.75,37
11,1728493187.0,5,30.72,38
11,1728493249.0,5,30.67,37
11,1728493310.0,7,30.69,38
11,1728493372.0,7,30.77,38
11,1728493434.0,6,30.74,38
11,1728493495.0,6,30.65,36
11,1728493557.0,5,30.77,39
11,1728493618.0,5,30.73,36
11,1728493680.0,5,30.75,37
11,1728493741.0,6,30.68,37
11,1728493803.0,6,30.69,38
11,1728493864.0,7,30.68,39
11,1728493926.0,7,30.61,39
11,1728493987.0,7,30.63,38
11,1728494049.0,7,30.47,39
11,1728494111.0,7,30.33,39
11,1728494172.0,8,30.26,39
11,1728494234.0,9,30.12,39
11,1728494295.0,9,30.13,39
11,1728494357.0,10,30.13,40
11,1728494418.0,10,30.08,40
11,1728494480.0,9,30.02,40
11,1728494541.0,7,29.98,40
11,1728494603.0,8,30.02,40
11,1728494665.0,8,29.95,41
11,1728494726.0,8,29.89,41
11,1728494788.0,8,29.81,40
11,1728494849.0,6,29.89,40
11,1728494911.0,5,29.86,41
11,1728494972.0,5,29.91,41
11,1728495034.0,6,29.9,40
11,1728495095.0,5,29.83,40
11,1728495157.0,5,29.77,40
11,1728495218.0,5,29.77,39
11,1728495280.0,6,29.73,40
11,1728495342.0,6,29.75,39
11,1728495403.0,6,29.79,39
11,1728495465.0,6,29.75,39
11,1728495526.0,6,29.77,39
11,1728495588.0,8,29.74,40
11,1728495649.0,9,29.74,40
11,1728495711.0,11,29.68,41
11,1728495772.0,8,29.56,41
11,1728495834.0,7,29.53,42
11,1728495895.0,9,29.42,42
11,1728495957.0,163,29.37,42
11,1728496019.0,542,29.32,42
11,1728496080.0,504,29.27,42
11,1728496142.0,134,29.13,42
11,1728496203.0,29,29.06,42
11,1728496265.0,25,29.01,43
11,1728496326.0,135,28.85,44
11,1728496388.0,46,28.6,45
11,1728496449.0,100,28.32,47
11,1728496511.0,41,28.18,48
11,1728496573.0,15,28.1,48
11,1728496634.0,12,27.83,49
11,1728496696.0,11,27.54,50
11,1728496757.0,9,27.52,50
11,1728496819.0,9,27.37,50
11,1728496880.0,9,27.27,51
11,1728496942.0,10,27.18,51
11,1728497003.0,10,27.01,52
11,1728497065.0,12,27.07,51
11,1728497127.0,8,27.01,49
11,1728497188.0,8,27.02,50
11,1728497250.0,8,26.88,50
11,1728497311.0,7,26.9,49
11,1728497373.0,6,26.88,48
11,1728497434.0,7,26.67,49
11,1728497496.0,7,26.69,50
11,1728497557.0,9,26.27,54
11,1728497619.0,10,25.89,57
11,1728497680.0,11,25.41,60
11,1728497742.0,13,23.51,70
11,1728497804.0,13,22.02,73
11,1728497865.0,13,21.64,79
11,1728497927.0,13,21.64,77
11,1728497988.0,12,22.15,75
11,1728498050.0,9,22.41,72
11,1728498111.0,8,22.44,73
11,1728498173.0,8,22.57,72
11,1728498234.0,7,22.34,71
11,1728498296.0,7,22.37,70
11,1728498357.0,7,22.62,70
11,1728498419.0,8,22.58,72
11,1728498481.0,8,22.47,72
11,1728498542.0,8,22.31,71
11,1728498604.0,9,22.47,72
11,1728498665.0,9,22.34,71
11,1728498727.0,8,22.27,72
11,1728498788.0,10,22.36,72
11,1728498850.0,10,22.31,72
11,1728498911.0,11,22.31,72
11,1728498973.0,15,22.31,71
11,1728499034.0,17,22.3,72
11,1728499096.0,15,22.23,73
11,1728499158.0,14,22.05,72
11,1728499219.0,15,21.97,72
11,1728499281.0,14,22.07,71
11,1728499342.0,15,22.14,72
11,1728499404.0,16,22.07,71
11,1728499465.0,15,21.91,72
11,1728499527.0,15,21.92,72
11,1728499588.0,14,21.79,72
11,1728499650.0,11,21.74,71
11,1728499711.0,11,21.84,72
11,1728499773.0,12,21.83,72
11,1728499835.0,14,21.74,72
11,1728499896.0,13,21.76,74
11,1728499958.0,13,21.74,72
11,1728500019.0,12,21.75,73
11,1728500081.0,11,21.75,71
11,1728500142.0,10,21.76,73
11,1728500204.0,10,21.57,71
11,1728500265.0,10,21.61,72
11,1728500327.0,9,21.52,71
11,1728500389.0,9,21.53,72
11,1728500450.0,9,21.56,71
11,1728500512.0,10,21.57,71
11,1728500573.0,11,21.54,70
11,1728500635.0,13,21.51,72
11,1728500696.0,14,21.54,71
11,1728500758.0,14,21.54,73
11,1728500819.0,15,21.4,71
11,1728500881.0,14,21.32,73
11,1728500942.0,13,21.19,73
11,1728501004.0,14,21.13,75
11,1728501065.0,14,21.2,73
11,1728501127.0,19,21.27,74
11,1728501189.0,24,21.39,74
11,1728501250.0,28,21.48,73
11,1728501312.0,30,21.5,72
11,1728501373.0,28,21.5,72
11,1728501435.0,22,21.48,73
11,1728501496.0,18,21.57,72
11,1728501558.0,15,21.58,72
11,1728501619.0,12,21.6,73
11,1728501681.0,11,21.63,73
11,1728501743.0,11,21.57,71
11,1728501804.0,9,21.54,73
11,1728501866.0,10,21.61,73
11,1728501927.0,9,21.65,72
11,1728501989.0,7,21.67,71
11,1728502050.0,7,21.71,72
11,1728502112.0,8,21.69,71
11,1728502173.0,8,21.62,70
11,1728502235.0,8,21.64,74
11,1728502296.0,8,21.69,71
11,1728502358.0,6,21.72,69
11,1728502419.0,9,21.7,72
11,1728502481.0,11,21.78,71
11,1728502543.0,9,21.72,70
11,1728502604.0,8,21.69,71
11,1728502666.0,9,21.77,71
11,1728502727.0,15,21.76,71
11,1728502789.0,14,21.75,71
11,1728502850.0,11,21.74,69
11,1728502912.0,11,21.75,71
11,1728502973.0,11,21.81,72
11,1728503035.0,13,21.85,70
11,1728503096.0,13,21.73,72
11,1728503158.0,11,21.74,72
11,1728503220.0,9,21.56,73
11,1728503281.0,12,21.36,75
11,1728503343.0,15,21.4,74
11,1728503404.0,15,21.33,75
11,1728503466.0,19,21.11,76
11,1728503527.0,20,20.96,77
11,1728503589.0,24,21.0,78
11,1728503650.0,27,20.82,77
11,1728503712.0,23,20.67,77
11,1728503773.0,23,20.6,78
11,1728503835.0,27,20.58,79
11,1728503897.0,26,20.58,78
11,1728503958.0,25,20.48,78
11,1728504020.0,22,20.54,78
11,1728504081.0,25,20.51,78
11,1728504143.0,29,20.53,77
11,1728504204.0,26,20.45,77
11,1728504266.0,22,20.32,78
11,1728504327.0,20,20.33,77
11,1728504389.0,15,20.38,77
11,1728504450.0,15,20.37,76
11,1728504512.0,15,20.36,76
11,1728504574.0,13,20.32,76
11,1728504635.0,15,20.48,76
11,1728504697.0,17,20.46,76
11,1728504758.0,18,20.46,77
11,1728504820.0,18,20.48,77
11,1728504881.0,17,20.52,76
11,1728504943.0,16,20.51,76
11,1728505004.0,14,20.57,76
11,1728505066.0,14,20.64,76
11,1728505127.0,15,20.66,76
11,1728505189.0,14,20.67,76
11,1728505251.0,11,20.7,75
11,1728505312.0,13,20.73,76
11,1728505374.0,14,20.69,75
11,1728505435.0,13,20.68,76
11,1728505497.0,13,20.67,76
11,1728505558.0,13,20.69,75
11,1728505620.0,12,20.66,77
11,1728505681.0,13,20.66,76
11,1728505743.0,12,20.67,76
11,1728505804.0,14,20.7,76
11,1728505866.0,13,20.66,77
11,1728505928.0,13,20.68,77
11,1728505989.0,12,20.6,77
11,1728506051.0,11,20.53,77
11,1728506112.0,11,20.6,78
11,1728506174.0,11,20.56,77
11,1728506235.0,12,20.56,76
11,1728506297.0,12,20.66,76
11,1728506358.0,13,20.59,77
11,1728506420.0,13,20.62,76
11,1728506481.0,12,20.69,76
11,1728506543.0,11,20.73,76
11,1728506604.0,10,20.65,77
11,1728506666.0,13,20.64,77
11,1728506728.0,11,20.67,76
11,1728506789.0,11,20.67,76
11,1728506851.0,12,20.71,76
11,1728506912.0,15,20.69,77
11,1728506974.0,20,20.65,77
11,1728507035.0,19,20.66,75
11,1728507097.0,16,20.68,77
11,1728507158.0,14,20.67,76
11,1728507220.0,22,20.72,75
11,1728507282.0,25,20.77,75
11,1728507343.0,24,20.84,76
11,1728507405.0,19,20.73,74
11,1728507466.0,9,20.78,74
11,1728507528.0,10,20.83,73
11,1728507589.0,21,20.89,74
11,1728507651.0,21,20.83,74
11,1728507712.0,16,20.84,74
11,1728507774.0,13,20.8,74
11,1728507835.0,9,20.8,74
11,1728507897.0,9,20.8,73
11,1728507958.0,8,20.8,73
11,1728508020.0,8,20.74,74
11,1728508082.0,9,20.78,73
11,1728508143.0,8,20.8,74
11,1728508205.0,7,20.85,74
11,1728508266.0,7,20.89,74
11,1728508328.0,7,20.88,73
11,1728508389.0,7,20.88,74
11,1728508451.0,8,20.88,74
11,1728508512.0,9,20.84,74
11,1728508574.0,10,20.79,74
11,1728508635.0,13,20.84,74
11,1728508697.0,13,20.84,75
11,1728508758.0,11,20.87,74
11,1728508820.0,9,20.78,73
11,1728508882.0,9,20.74,73
11,1728508943.0,7,20.79,73
11,1728509005.0,8,20.81,74
11,1728509066.0,10,20.79,74
11,1728509128.0,9,20.76,73
11,1728509189.0,9,20.78,74
11,1728509251.0,8,20.78,74
11,1728509312.0,10,20.81,74
11,1728509374.0,9,20.8,74
11,1728509435.0,9,20.78,74
11,1728509497.0,9,20.82,73
11,1728509558.0,8,20.8,72
11,1728509620.0,9,20.8,73
11,1728509682.0,8,20.8,72
11,1728509743.0,9,20.83,73
11,1728509805.0,8,20.87,73
11,1728509866.0,9,20.88,72
11,1728509928.0,8,20.86,72
11,1728509989.0,9,20.9,73
11,1728510051.0,9,20.91,73
11,1728510112.0,8,20.96,73
11,1728510174.0,8,20.9,73
11,1728510235.0,8,20.85,73
11,1728510297.0,8,20.91,73
11,1728510359.0,8,20.95,73
11,1728510420.0,9,20.92,72
11,1728510482.0,8,20.91,73
11,1728510543.0,8,20.91,72
11,1728510605.0,8,20.85,71
11,1728510666.0,7,20.9,72
11,1728510728.0,8,20.87,73
11,1728510789.0,8,20.9,73
11,1728510851.0,9,20.95,72
11,1728510912.0,9,20.96,73
11,1728510974.0,9,20.98,72
11,1728511035.0,9,21.02,72
11,1728511097.0,8,21.06,71
11,1728511158.0,8,21.06,72
11,1728511220.0,8,21.02,70
11,1728511282.0,7,21.02,71
11,1728511343.0,8,21.03,71
11,1728511405.0,7,21.04,71
11,1728511466.0,8,21.08,71
11,1728511528.0,8,21.09,70
11,1728511589.0,8,21.13,70
11,1728511651.0,8,21.18,71
11,1728511712.0,8,21.21,70
11,1728511774.0,9,21.24,71
11,1728511835.0,9,21.23,70
11,1728511897.0,9,21.24,70
11,1728511958.0,9,21.24,71
11,1728512020.0,9,21.27,70
11,1728512082.0,9,21.29,70
11,1728512143.0,9,21.28,69
11,1728512205.0,9,21.32,70
11,1728512266.0,9,21.32,68
11,1728512328.0,9,21.36,71
11,1728512389.0,9,21.37,72
11,1728512451.0,9,21.38,70
11,1728512512.0,10,21.39,71
11,1728512574.0,10,21.37,69
11,1728512635.0,10,21.37,71
11,1728512697.0,10,21.38,73
11,1728512758.0,10,21.38,71
11,1728512820.0,9,21.36,71
11,1728512882.0,10,21.31,74
11,1728512943.0,9,21.18,74
11,1728513005.0,9,21.14,74
