sensor,datetime,PM25,Temperature,RH
6,1731409042.0,19,28.29,43
6,1731409104.0,19,28.52,43
6,1731409318.0,18,28.29,43
6,1731409381.0,19,28.31,43
6,1731409443.0,18,28.3,43
6,1731409505.0,19,28.26,43
6,1731409567.0,18,28.4,42
6,1731409629.0,18,28.51,43
6,1731409692.0,19,28.57,42
6,1731409754.0,18,28.59,42
6,1731409816.0,18,28.66,42
6,1731409878.0,18,28.71,42
6,1731409941.0,18,28.64,42
6,1731410003.0,17,28.64,42
6,1731410065.0,17,28.56,42
6,1731410127.0,17,28.66,42
6,1731410190.0,17,28.57,42
6,1731410252.0,16,28.68,42
6,1731410314.0,16,28.74,42
6,1731410376.0,17,28.82,41
6,1731410438.0,16,28.8,41
6,1731410501.0,17,28.95,41
6,1731410563.0,18,29.0,41
6,1731410625.0,17,28.97,41
6,1731410838.0,16,28.7,42
6,1731410900.0,16,28.68,42
6,1731410962.0,16,28.77,42
6,1731411025.0,16,28.85,41
6,1731411087.0,17,28.93,41
6,1731411149.0,20,29.07,41
6,1731411211.0,16,29.11,41
6,1731411273.0,16,29.16,41
6,1731411336.0,17,29.17,41
6,1731411398.0,17,29.13,40
6,1731411460.0,20,29.17,40
6,1731411522.0,23,29.17,40
6,1731411585.0,23,29.27,40
6,1731411647.0,21,29.26,40
6,1731411709.0,20,29.29,39
6,1731411771.0,21,29.25,39
6,1731411834.0,28,29.17,40
6,1731411896.0,24,29.18,40
6,1731411958.0,23,29.23,40
6,1731412020.0,23,29.25,39
6,1731412082.0,21,29.33,39
6,1731412145.0,20,29.2,39
6,1731412207.0,20,29.2,39
6,1731412269.0,19,29.01,39
6,1731412331.0,19,29.01,39
6,1731412394.0,19,29.2,39
6,1731412456.0,19,29.24,39
6,1731412518.0,18,29.25,38
6,1731412580.0,18,29.15,39
6,1731412642.0,17,29.13,39
6,1731412705.0,17,29.05,39
6,1731412767.0,17,29.11,39
6,1731412829.0,17,29.14,39
6,1731412891.0,17,29.04,39
6,1731412954.0,17,29.09,39
6,1731413016.0,17,29.16,38
6,1731413078.0,16,29.15,38
6,1731413140.0,17,29.21,38
6,1731413203.0,17,29.2,38
6,1731413265.0,17,29.22,39
6,1731413327.0,17,29.28,39
6,1731413389.0,16,29.42,38
6,1731413451.0,17,29.23,38
6,1731413514.0,17,29.25,38
6,1731413576.0,16,29.28,38
6,1731413638.0,23,29.29,38
6,1731413700.0,22,29.3,38
6,1731413763.0,22,29.29,38
6,1731413825.0,22,29.33,38
6,1731413887.0,21,29.29,38
6,1731413949.0,22,29.38,37
6,1731414012.0,21,29.61,37
6,1731414074.0,21,29.71,37
6,1731414136.0,21,29.8,36
6,1731414198.0,22,29.88,37
6,1731414260.0,21,29.95,37
6,1731414323.0,21,30.0,36
6,1731414385.0,21,30.06,37
6,1731414447.0,21,30.1,37
6,1731414509.0,21,30.14,36
