sensor,datetime,PM25,Temperature,RH
17,1736597705.0,9,,
17,1736597767.0,8,,
17,1736597829.0,7,,
17,1736597891.0,8,,
17,1736597954.0,7,,
17,1736598016.0,8,,
17,1736598078.0,7,,
17,1736598140.0,7,,
17,1736598202.0,7,,
17,1736598265.0,6,,
17,1736598327.0,7,,
17,1736598389.0,7,,
17,1736598451.0,7,,
17,1736598513.0,6,,
17,1736598576.0,7,,
17,1736598638.0,7,,
17,1736598700.0,7,,
17,1736598762.0,39,,
17,1736598825.0,26,,
17,1736598887.0,9,,
17,1736598949.0,8,,
17,1736599011.0,15,,
17,1736599073.0,9,,
17,1736599136.0,8,,
17,1736599198.0,6,,
17,1736599260.0,36,,
17,1736599322.0,16,,
17,1736599384.0,7,,
17,1736599447.0,7,,
17,1736599509.0,7,,
17,1736599571.0,7,,
17,1736599633.0,6,,
17,1736599695.0,7,,
17,1736599758.0,7,,
17,1736599820.0,7,,
17,1736599882.0,7,,
17,1736599944.0,6,,
17,1736600006.0,7,,
17,1736600069.0,7,,
17,1736600131.0,6,,
17,1736600193.0,6,,
17,1736600255.0,7,,
17,1736600317.0,7,,
17,1736600380.0,7,,
17,1736600442.0,7,,
17,1736600504.0,6,,
17,1736600566.0,7,,
17,1736600629.0,6,,
17,1736600691.0,5,,
17,1736600753.0,6,,
17,1736600815.0,6,,
17,1736600877.0,6,,
17,1736600940.0,6,,
17,1736601002.0,6,,
17,1736601064.0,7,,
17,1736601126.0,6,,
17,1736601188.0,6,,
17,1736601251.0,6,,
17,1736601313.0,6,,
17,1736601375.0,6,,
17,1736601437.0,7,,
17,1736601499.0,6,,
17,1736601562.0,6,,
17,1736601624.0,7,,
17,1736601686.0,7,,
17,1736601748.0,7,,
17,1736601810.0,7,,
17,1736601873.0,6,,
17,1736601935.0,6,,
17,1736601997.0,6,,
17,1736602059.0,7,,
17,1736602121.0,7,,
17,1736602184.0,6,,
17,1736602246.0,7,,
17,1736602308.0,6,,
17,1736602370.0,6,,
17,1736602432.0,6,,
17,1736602495.0,6,,
17,1736602557.0,6,,
17,1736602619.0,6,,
17,1736602681.0,6,,
17,1736602744.0,6,,
17,1736602806.0,6,,
17,1736602868.0,7,,
17,1736602930.0,7,,
17,1736602992.0,6,,
17,1736603055.0,6,,
17,1736603117.0,7,,
17,1736603179.0,7,,
17,1736603241.0,9,,
17,1736603303.0,8,,
17,1736603366.0,7,,
17,1736603428.0,10,,
17,1736603490.0,7,,
17,1736603552.0,7,,
17,1736603614.0,6,,
17,1736603677.0,6,,
17,1736603739.0,7,,
17,1736603801.0,6,,
17,1736603863.0,6,,
17,1736603925.0,6,,
17,1736603988.0,6,,
17,1736604050.0,7,,
17,1736604112.0,7,,
17,1736604174.0,7,,
17,1736604236.0,6,,
17,1736604299.0,7,,
17,1736604361.0,7,,
17,1736604423.0,7,,
17,1736604485.0,6,,
17,1736604547.0,7,,
17,1736604610.0,7,,
17,1736604672.0,7,,
17,1736604734.0,8,,
17,1736604796.0,7,,
17,1736604859.0,8,,
17,1736604921.0,7,,
17,1736604983.0,7,,
17,1736605045.0,7,,
17,1736605107.0,7,,
17,1736605170.0,7,,
17,1736605232.0,7,,
17,1736605294.0,7,,
17,1736605356.0,7,,
17,1736605418.0,7,,
17,1736605481.0,6,,
17,1736605543.0,7,,
17,1736605605.0,6,,
17,1736605667.0,7,,
17,1736605729.0,7,,
17,1736605792.0,7,,
17,1736605854.0,6,,
17,1736605916.0,7,,
17,1736605978.0,7,,
17,1736606040.0,7,,
17,1736606103.0,6,,
17,1736606165.0,6,,
17,1736606227.0,6,,
17,1736606289.0,7,,
17,1736606351.0,7,,
17,1736606414.0,6,,
17,1736606476.0,6,,
17,1736606538.0,7,,
17,1736606600.0,6,,
17,1736606662.0,7,,
17,1736606725.0,6,,
17,1736606787.0,6,,
17,1736606849.0,7,,
17,1736606911.0,7,,
17,1736606974.0,6,,
17,1736607036.0,6,,
17,1736607098.0,7,,
17,1736607160.0,8,,
17,1736607222.0,7,,
17,1736607285.0,7,,
17,1736607347.0,7,,
17,1736607409.0,5,,
17,1736607471.0,7,,
17,1736607533.0,7,,
17,1736607596.0,6,,
17,1736607658.0,6,,
17,1736607720.0,6,,
17,1736607782.0,7,,
17,1736607844.0,7,,
17,1736607907.0,6,,
17,1736607969.0,7,,
17,1736608031.0,7,,
17,1736608093.0,6,,
17,1736608155.0,6,,
17,1736608218.0,6,,
17,1736608280.0,6,,
17,1736608342.0,7,,
17,1736608404.0,7,,
17,1736608466.0,6,,
17,1736608529.0,6,,
17,1736608591.0,6,,
17,1736608653.0,6,,
17,1736608715.0,6,,
17,1736608777.0,6,,
17,1736608840.0,6,,
17,1736608902.0,7,,
17,1736608964.0,7,,
17,1736609026.0,7,,
17,1736609089.0,6,,
17,1736609151.0,6,,
17,1736609213.0,7,,
17,1736609275.0,7,,
17,1736609337.0,6,,
17,1736609400.0,6,,
17,1736609462.0,6,,
17,1736609524.0,6,,
17,1736609586.0,7,,
17,1736609648.0,6,,
17,1736609711.0,7,,
17,1736609773.0,7,,
17,1736609835.0,7,,
17,1736609897.0,6,,
17,1736609959.0,7,,
17,1736610022.0,7,,
17,1736610084.0,8,,
17,1736610146.0,9,,
17,1736610208.0,9,,
17,1736610270.0,8,,
17,1736610333.0,7,,
17,1736610395.0,6,,
17,1736610457.0,7,,
17,1736610519.0,8,,
17,1736610582.0,9,,
17,1736610644.0,9,,
17,1736610706.0,10,,
17,1736610768.0,10,,
17,1736610830.0,9,,
17,1736610893.0,8,,
17,1736610955.0,8,,
17,1736611017.0,8,,
17,1736611079.0,8,,
17,1736611141.0,7,,
17,1736611204.0,8,,
17,1736611266.0,8,,
17,1736611328.0,7,,
17,1736611390.0,8,,
17,1736611452.0,7,,
17,1736611515.0,8,,
17,1736611577.0,7,,
17,1736611639.0,7,,
17,1736611701.0,7,,
17,1736611764.0,8,,
17,1736611826.0,7,,
17,1736611888.0,7,,
17,1736611950.0,6,,
17,1736612012.0,7,,
17,1736612075.0,6,,
17,1736612137.0,6,,
17,1736612199.0,8,,
17,1736612261.0,19,,
17,1736612323.0,15,,
17,1736612386.0,8,,
17,1736612448.0,8,,
17,1736612510.0,7,,
17,1736612572.0,7,,
17,1736612634.0,6,,
17,1736612697.0,7,,
