sensor,datetime,PM25,Temperature,RH
13,1728295260.0,10,25.02,62
13,1728295322.0,10,24.82,58
13,1728295383.0,9,24.57,58
13,1728295445.0,9,24.74,60
13,1728295506.0,10,24.66,60
13,1728295568.0,15,24.86,63
13,1728295629.0,13,24.87,60
13,1728295691.0,10,25.0,63
13,1728295752.0,11,24.83,62
13,1728295813.0,9,25.01,60
13,1728295875.0,8,24.74,61
13,1728295936.0,9,24.93,61
13,1728295998.0,9,25.06,60
13,1728296059.0,7,24.82,61
13,1728296121.0,7,24.45,59
13,1728296182.0,6,24.56,59
13,1728296244.0,7,24.66,59
13,1728296305.0,7,25.12,60
13,1728296367.0,7,25.42,60
13,1728296428.0,6,25.59,57
13,1728296490.0,9,25.25,61
13,1728296551.0,6,25.26,58
13,1728296613.0,6,25.19,59
13,1728296674.0,6,24.98,58
13,1728296736.0,5,24.89,60
13,1728296797.0,5,25.36,61
13,1728296858.0,4,25.66,59
13,1728296920.0,4,25.67,58
13,1728296981.0,4,25.34,56
13,1728297043.0,3,25.65,58
13,1728297104.0,4,25.61,56
13,1728297166.0,4,25.97,56
13,1728297227.0,5,26.24,57
13,1728297289.0,4,26.42,55
13,1728297350.0,3,25.68,58
13,1728297412.0,4,26.06,54
13,1728297473.0,4,25.79,56
13,1728297535.0,3,24.99,58
13,1728297596.0,3,25.75,60
13,1728297658.0,3,25.51,58
13,1728297719.0,3,25.53,57
13,1728297780.0,3,25.42,56
13,1728894938.0,7,25.67,51
13,1728895204.0,3,25.28,54
13,1728895266.0,3,25.3,55
13,1728895327.0,4,25.42,53
13,1728895389.0,4,25.54,53
13,1728895450.0,5,25.28,53
13,1728895512.0,3,25.09,54
13,1728895573.0,3,25.46,55
13,1728895635.0,4,25.31,53
13,1728895696.0,4,25.32,54
13,1728895758.0,6,25.76,52
13,1728895819.0,4,25.58,53
13,1728895881.0,4,25.57,52
13,1728895942.0,4,25.13,54
13,1728896004.0,3,25.43,54
13,1728896065.0,3,25.9,52
13,1728896127.0,3,26.09,52
13,1728896188.0,4,25.92,52
13,1728896249.0,4,25.4,52
13,1728896311.0,3,25.05,51
13,1728896372.0,3,25.29,52
13,1728896434.0,4,25.47,54
13,1728896495.0,4,26.14,51
13,1728896557.0,3,26.1,50
13,1728896618.0,4,25.85,53
13,1728896680.0,3,25.56,54
13,1728896741.0,4,25.22,53
13,1728896803.0,10,26.01,53
13,1728896864.0,6,26.17,51
13,1728896926.0,5,25.72,51
13,1728896987.0,5,25.56,51
13,1728897049.0,5,25.77,52
13,1728897110.0,4,25.53,52
13,1728897172.0,4,25.84,53
13,1728897233.0,4,25.45,54
13,1728897294.0,3,25.29,53
13,1728897356.0,3,25.12,55
13,1728897417.0,4,25.78,55
13,1728897479.0,4,26.07,54
13,1728897540.0,3,25.24,54
13,1728897602.0,3,25.79,54
13,1728897663.0,3,25.86,53
13,1728897725.0,3,25.69,53
13,1728897786.0,4,26.06,52
13,1728897848.0,4,26.01,52
13,1728897909.0,3,25.71,51
13,1728897971.0,4,25.91,51
13,1728898032.0,4,26.09,52
13,1728898094.0,3,25.94,53
13,1728898155.0,4,26.12,51
13,1728898216.0,3,26.24,51
13,1728898278.0,4,25.78,51
13,1728898339.0,4,26.18,51
13,1728898401.0,4,25.78,52
13,1728898462.0,4,26.0,51
13,1728898524.0,4,26.39,50
13,1728898585.0,4,26.4,50
13,1728898647.0,3,25.92,52
13,1728898708.0,3,26.24,51
13,1728898770.0,3,25.83,51
13,1728898831.0,4,25.97,51
13,1728898893.0,5,26.4,51
13,1728898954.0,3,26.09,52
13,1728899016.0,3,26.46,52
13,1728899077.0,3,26.14,51
13,1728899139.0,3,25.82,50
13,1728899200.0,3,26.09,51
13,1728899262.0,3,26.22,53
13,1728899323.0,3,26.34,52
13,1728899384.0,3,26.18,52
13,1728899446.0,3,26.69,51
13,1728899507.0,4,26.32,50
13,1728899569.0,3,26.73,51
13,1728899630.0,3,26.73,51
13,1728899692.0,3,26.22,51
13,1728899753.0,3,26.32,51
13,1728899815.0,3,26.38,50
13,1728899876.0,3,26.73,51
13,1728899938.0,3,26.23,51
13,1728899999.0,3,26.18,50
13,1728900061.0,3,25.99,51
13,1728900122.0,3,26.18,51
13,1728900184.0,3,26.97,50
13,1728900245.0,4,26.4,51
13,1728900307.0,4,26.73,51
13,1728900368.0,4,26.67,49
13,1728900430.0,3,26.94,50
13,1728900491.0,4,26.86,50
13,1728900552.0,4,26.51,50
13,1728900614.0,3,26.54,49
13,1728900675.0,2,26.22,49
13,1728900737.0,5,26.16,50
13,1728900798.0,3,26.08,50
13,1728900860.0,3,26.58,51
13,1728900921.0,3,26.8,50
13,1728900983.0,3,26.72,50
13,1728901044.0,4,26.75,50
13,1728901106.0,4,26.31,50
13,1728901167.0,2,26.25,51
13,1728901229.0,2,26.39,50
13,1728901290.0,3,26.78,51
13,1728901352.0,3,27.44,50
13,1728901413.0,3,26.68,50
13,1728901475.0,4,26.84,49
13,1728901536.0,3,26.59,49
13,1728901598.0,3,26.95,50
13,1728901659.0,3,26.6,50
13,1728901720.0,2,26.88,49
13,1728901782.0,3,27.14,51
13,1728901843.0,2,26.98,49
13,1728901905.0,2,27.17,51
13,1728901966.0,2,26.9,50
13,1728902028.0,2,26.98,50
13,1728902089.0,2,26.97,51
13,1728902151.0,2,26.55,49
13,1728902212.0,2,26.75,51
13,1728902274.0,2,26.63,49
13,1728902335.0,2,26.29,50
13,1728902397.0,2,26.54,50
13,1728902458.0,2,26.76,48
13,1728902520.0,2,27.11,48
13,1728902581.0,2,26.76,49
13,1728902643.0,2,26.68,51
13,1728902704.0,2,26.57,49
13,1728902766.0,3,26.78,49
13,1728902827.0,3,26.45,48
13,1728902888.0,3,27.2,48
13,1728902950.0,3,27.05,47
13,1728903011.0,3,26.61,46
13,1728903073.0,6,26.84,49
13,1728903134.0,5,27.65,46
13,1728903196.0,3,27.27,45
13,1728903257.0,2,26.67,47
13,1728903319.0,3,26.74,49
13,1728903380.0,3,27.2,49
13,1728903442.0,2,27.14,49
13,1728903503.0,3,27.72,46
13,1728903565.0,3,27.39,49
13,1728903626.0,4,27.54,46
13,1728903688.0,3,27.13,48
13,1728903749.0,3,27.96,45
13,1728903811.0,3,27.32,48
13,1728903872.0,3,27.91,48
13,1728903934.0,3,27.2,46
13,1728903995.0,6,27.54,46
13,1728904057.0,3,28.19,46
13,1728904118.0,3,28.01,45
13,1728904179.0,2,27.45,47
13,1728904241.0,2,27.98,45
13,1728904302.0,4,28.14,44
13,1728904364.0,4,27.6,46
13,1728904425.0,4,27.38,48
13,1728904487.0,4,27.86,47
13,1728904548.0,4,27.52,46
13,1728904610.0,3,28.09,48
13,1728904671.0,3,27.63,47
13,1728904733.0,3,27.31,48
13,1728904794.0,3,27.6,48
13,1728904856.0,3,27.43,47
13,1728904917.0,2,27.39,48
13,1728904979.0,2,28.09,46
13,1728905040.0,3,27.87,47
13,1728905102.0,3,27.53,46
13,1728905163.0,3,27.88,46
13,1728905224.0,4,27.74,48
13,1728905286.0,6,28.18,45
13,1728905347.0,4,27.27,47
13,1728905409.0,3,27.57,45
13,1728905470.0,7,28.12,46
13,1728905532.0,3,27.93,47
13,1728905593.0,2,28.17,49
13,1728905655.0,3,27.79,45
13,1728905716.0,3,27.82,44
13,1728905778.0,3,27.91,45
13,1728905839.0,5,27.48,47
13,1728905901.0,6,27.45,47
13,1728905962.0,2,27.31,47
13,1728906024.0,2,27.87,48
13,1728906085.0,3,28.47,46
13,1728906147.0,3,27.86,45
13,1728906208.0,3,27.15,45
13,1728906270.0,3,28.04,48
13,1728906331.0,3,28.04,45
13,1728906393.0,3,27.68,46
13,1728906454.0,3,27.42,47
13,1728906515.0,3,28.06,46
13,1728906577.0,2,28.29,47
13,1728906638.0,5,27.82,47
13,1728906700.0,6,28.31,48
13,1728906761.0,2,28.14,47
13,1728906823.0,2,28.18,46
13,1728906884.0,2,27.14,47
13,1728906946.0,2,28.0,47
13,1728907007.0,3,28.15,46
13,1728907069.0,4,28.52,46
13,1728907130.0,3,28.91,44
13,1728907192.0,5,27.89,44
13,1728907253.0,7,27.72,47
13,1728907315.0,4,28.2,46
13,1728907376.0,4,27.47,46
13,1728907438.0,3,27.34,46
13,1728907499.0,3,27.72,47
13,1728907561.0,3,27.55,47
13,1728907622.0,3,27.32,46
13,1728907684.0,4,27.4,46
13,1728907745.0,4,27.08,47
13,1728907806.0,3,27.22,45
13,1728907868.0,3,27.12,47
13,1728907929.0,3,27.66,47
13,1728907991.0,2,27.57,47
13,1728908052.0,3,27.3,48
13,1728908114.0,3,27.46,48
13,1728908175.0,3,27.53,46
13,1728908237.0,3,26.99,47
13,1728908298.0,2,27.03,48
13,1728908360.0,2,27.17,47
13,1728908421.0,3,27.27,47
13,1728908483.0,3,27.37,47
13,1728908544.0,3,27.36,47
13,1728908606.0,3,27.39,45
13,1728908667.0,3,27.1,46
13,1728908729.0,3,27.23,47
13,1728908790.0,3,27.19,47
13,1728908852.0,3,27.28,46
13,1728908913.0,3,27.5,45
13,1728908975.0,3,27.6,45
13,1728909036.0,5,27.38,46
13,1728909097.0,6,27.26,45
13,1728909159.0,3,27.37,45
13,1728909220.0,4,27.32,45
13,1728909282.0,4,27.49,45
13,1728909343.0,4,27.2,45
13,1728909405.0,3,27.36,45
13,1728909466.0,4,27.18,45
13,1728909528.0,4,27.58,44
13,1728909589.0,4,27.51,44
13,1728909651.0,4,27.81,43
13,1728909712.0,4,27.91,42
13,1728909774.0,4,27.73,42
13,1728909835.0,4,27.65,43
13,1728909897.0,4,27.9,43
13,1728909958.0,3,28.13,43
13,1728910020.0,3,28.41,44
13,1728910081.0,3,28.59,43
13,1728910142.0,3,28.31,43
13,1728910204.0,3,28.04,43
13,1728910265.0,4,28.3,45
13,1728910327.0,4,28.3,44
13,1728910388.0,4,27.64,42
13,1728910450.0,4,27.65,44
13,1728910511.0,4,28.18,43
13,1728910573.0,4,28.1,43
13,1728910634.0,4,27.85,44
13,1728910696.0,5,28.09,41
13,1728910757.0,4,28.2,42
13,1728910819.0,5,28.22,42
13,1728910880.0,4,28.48,42
13,1728910942.0,4,28.32,41
13,1728911003.0,4,28.44,43
13,1728911065.0,4,28.05,41
13,1728911126.0,4,28.02,42
13,1728911188.0,4,28.47,41
13,1728911249.0,4,28.72,42
13,1728911311.0,4,28.53,40
13,1728911372.0,4,27.86,41
13,1728911433.0,4,28.09,43
13,1728911495.0,4,28.47,42
13,1728911556.0,4,28.62,42
13,1728911618.0,4,28.78,42
13,1728911679.0,4,28.72,41
13,1728911741.0,4,28.57,40
13,1728911802.0,4,28.67,41
13,1728911864.0,4,28.42,43
13,1728911925.0,3,28.4,41
13,1728911987.0,4,28.63,43
13,1728912048.0,4,28.84,42
13,1728912110.0,4,28.9,45
13,1728912171.0,4,29.02,44
13,1728912233.0,5,29.16,47
13,1728912294.0,4,29.19,46
13,1728912356.0,4,29.32,45
13,1728912417.0,5,29.36,44
13,1728912479.0,5,29.36,46
13,1728912540.0,5,29.39,45
13,1728912602.0,5,29.52,46
13,1728912663.0,5,29.52,45
13,1728912725.0,5,29.52,45
13,1728912786.0,5,29.6,44
13,1728912847.0,6,29.52,44
13,1728912909.0,5,29.53,43
13,1728912970.0,5,29.62,44
13,1728913032.0,5,29.64,44
13,1728913093.0,5,29.51,43
13,1728913155.0,5,29.38,45
13,1728913216.0,35,29.51,45
13,1728913278.0,7,29.57,44
13,1728913339.0,6,29.28,45
13,1728913401.0,6,29.18,45
13,1728913462.0,5,29.24,44
13,1728913524.0,6,29.09,43
