sensor,datetime,PM25,Temperature,RH
9,1732297261.0,41,26.83,52
9,1732297323.0,37,26.69,47
9,1732297386.0,37,26.67,46
9,1732297448.0,36,26.65,46
9,1732297510.0,36,26.62,47
9,1732297572.0,36,26.6,46
9,1732297634.0,36,26.57,46
9,1732297697.0,35,26.55,47
9,1732297759.0,45,26.51,47
9,1732297821.0,59,26.39,47
9,1732297883.0,82,26.37,48
9,1732297946.0,86,26.33,48
9,1732298008.0,79,26.42,48
9,1732298070.0,75,26.39,48
9,1732298132.0,75,26.4,48
9,1732298194.0,76,26.38,49
9,1732298257.0,80,26.39,48
9,1732298319.0,105,26.34,48
9,1732298381.0,101,26.25,49
9,1732298443.0,102,26.26,49
9,1732298506.0,99,26.2,49
9,1732298568.0,147,26.19,49
9,1732298630.0,127,26.14,49
9,1732298692.0,144,26.08,50
9,1732298755.0,146,26.04,50
9,1732298817.0,136,26.06,50
9,1732298879.0,119,26.06,49
9,1732298941.0,94,26.01,51
9,1732299003.0,96,25.95,52
9,1732299066.0,74,25.9,53
9,1732299128.0,70,25.69,52
9,1732299190.0,70,25.6,53
9,1732299252.0,65,25.54,54
9,1732299315.0,61,25.44,55
9,1732299377.0,51,25.31,54
9,1732299439.0,48,25.21,54
9,1732299501.0,46,25.14,54
9,1732299563.0,44,25.08,54
9,1732299626.0,43,25.03,55
9,1732299688.0,45,24.96,54
9,1732299750.0,47,24.9,55
9,1732299812.0,49,24.83,56
9,1732299875.0,46,24.76,56
9,1732299937.0,46,24.74,56
9,1732299999.0,47,24.72,56
9,1732300061.0,46,24.66,57
9,1732300123.0,47,24.61,58
9,1732300186.0,49,24.54,57
9,1732300248.0,50,24.51,56
9,1732300310.0,56,24.45,58
9,1732300372.0,60,24.4,58
9,1732300435.0,59,24.35,59
9,1732300497.0,57,24.32,59
9,1732300559.0,56,24.29,58
9,1732300621.0,58,24.22,59
9,1732300683.0,56,24.22,59
9,1732300746.0,57,24.14,60
9,1732300808.0,60,24.09,60
9,1732300870.0,60,24.11,58
9,1732300932.0,66,24.15,59
9,1732300995.0,61,24.13,59
9,1732301057.0,65,24.16,59
9,1732301119.0,68,24.07,59
9,1732301181.0,70,23.99,60
9,1732301243.0,92,24.01,58
9,1732301306.0,101,23.98,60
9,1732301368.0,87,24.0,59
9,1732301430.0,91,24.0,59
9,1732301492.0,85,23.97,59
9,1732301555.0,89,23.88,61
9,1732301617.0,87,23.84,61
9,1732301679.0,89,23.75,62
9,1732301741.0,92,23.66,62
9,1732301804.0,106,23.61,62
9,1732301866.0,103,23.56,63
9,1732301928.0,99,23.52,63
9,1732301990.0,89,23.51,63
9,1732302052.0,77,23.51,62
9,1732302115.0,71,23.54,62
9,1732302177.0,67,23.53,62
9,1732302239.0,67,23.51,62
9,1732302301.0,71,23.49,63
9,1732302364.0,69,23.49,62
9,1732302426.0,74,23.51,62
9,1732302488.0,76,23.48,62
9,1732302550.0,75,23.47,62
9,1732302612.0,77,23.46,63
9,1732302675.0,80,23.4,63
9,1732302737.0,78,23.42,63
9,1732302799.0,78,23.45,64
9,1732302861.0,76,23.48,62
9,1732302923.0,73,23.47,62
9,1732302986.0,76,23.48,62
9,1732303048.0,75,23.5,61
9,1732303110.0,72,23.52,60
9,1732303172.0,70,23.53,60
9,1732303235.0,64,23.56,60
9,1732303297.0,63,23.56,60
9,1732303359.0,61,23.57,61
9,1732303421.0,61,23.55,60
9,1732303483.0,59,23.58,60
9,1732303546.0,56,23.6,60
9,1732303608.0,56,23.67,59
9,1732303670.0,54,23.65,59
9,1732303732.0,58,23.69,59
9,1732303795.0,57,23.63,60
9,1732303857.0,50,23.67,58
9,1732303919.0,48,23.72,58
9,1732303981.0,45,23.73,57
9,1732304044.0,43,23.73,59
9,1732304106.0,40,23.78,56
9,1732304168.0,37,23.8,57
9,1732304230.0,38,23.86,56
9,1732304292.0,37,23.89,56
9,1732304355.0,32,23.94,56
9,1732304417.0,32,23.97,55
9,1732304479.0,33,24.0,57
9,1732304541.0,34,24.02,56
9,1732304604.0,34,24.04,57
9,1732304666.0,32,24.04,54
9,1732304728.0,32,24.06,57
9,1732304790.0,33,24.08,56
9,1732304852.0,33,24.03,56
9,1732304915.0,32,24.06,56
9,1732304977.0,31,24.02,58
9,1732305039.0,33,24.02,56
9,1732305101.0,33,24.06,56
9,1732305164.0,33,24.05,58
9,1732305226.0,33,24.04,56
9,1732305288.0,31,24.04,56
9,1732305350.0,30,24.02,56
9,1732305413.0,28,24.08,55
9,1732305475.0,29,24.1,56
9,1732305537.0,29,24.14,54
9,1732305599.0,27,24.13,55
9,1732305661.0,28,24.17,55
9,1732305724.0,28,24.2,55
9,1732305786.0,28,24.24,54
9,1732305848.0,27,24.3,52
9,1732305910.0,27,24.32,53
9,1732305973.0,27,24.38,53
9,1732306035.0,28,24.41,53
9,1732306097.0,28,24.45,53
9,1732306159.0,27,24.46,54
9,1732306221.0,27,24.45,54
9,1732306284.0,26,24.44,54
9,1732306346.0,29,24.4,55
9,1732306408.0,28,24.45,54
9,1732306470.0,27,24.44,54
9,1732306533.0,27,24.41,54
9,1732306595.0,28,24.42,53
9,1732306657.0,28,24.46,53
9,1732306719.0,29,24.46,53
9,1732306781.0,28,24.52,53
9,1732306844.0,29,24.54,51
9,1732306906.0,29,24.61,52
9,1732306968.0,29,24.63,52
9,1732307030.0,29,24.65,52
9,1732307093.0,30,24.67,52
9,1732307155.0,29,24.72,50
9,1732307217.0,30,24.75,50
9,1732307279.0,30,24.78,51
9,1732307341.0,30,24.82,51
9,1732307404.0,31,24.84,51
9,1732307466.0,31,24.83,52
9,1732307528.0,31,24.86,51
9,1732307590.0,30,24.86,51
9,1732307653.0,31,24.86,50
9,1732307715.0,31,24.88,51
9,1732307777.0,32,24.85,50
9,1732307839.0,31,24.87,50
9,1732307901.0,34,24.89,51
9,1732307964.0,39,24.88,50
9,1732308026.0,41,24.86,51
9,1732308088.0,40,24.9,50
9,1732308150.0,43,24.9,50
9,1732308213.0,44,24.9,50
9,1732308275.0,49,24.93,50
9,1732308337.0,49,24.91,50
9,1732308399.0,50,24.91,51
9,1732308461.0,48,24.92,50
9,1732308524.0,46,24.91,50
9,1732308586.0,47,24.91,50
9,1732308648.0,47,24.95,50
9,1732308710.0,51,24.97,50
9,1732308773.0,48,24.92,50
9,1732308835.0,51,24.94,50
9,1732308897.0,49,24.95,50
9,1732308959.0,49,24.95,51
9,1732309022.0,51,24.9,51
9,1732309084.0,51,24.86,51
9,1732309146.0,47,24.86,51
9,1732309208.0,44,24.85,50
9,1732309270.0,46,24.87,51
9,1732309333.0,49,24.81,51
9,1732309395.0,51,24.81,50
9,1732309457.0,50,24.82,50
9,1732309519.0,49,24.86,50
9,1732309582.0,51,24.79,51
9,1732309644.0,51,24.85,51
9,1732309706.0,51,24.83,51
9,1732309768.0,51,24.82,52
9,1732309830.0,50,24.83,53
9,1732309893.0,54,24.81,52
9,1732309955.0,50,24.78,52
9,1732310017.0,46,24.78,52
9,1732310079.0,47,24.82,52
9,1732310142.0,48,24.86,54
9,1732310204.0,50,24.64,61
9,1732310266.0,45,24.24,63
9,1732310328.0,45,23.24,67
9,1732310390.0,45,22.35,71
9,1732310453.0,27,20.58,83
9,1732310515.0,25,20.31,86
9,1732310577.0,25,19.65,87
9,1732310639.0,24,20.15,88
9,1732310702.0,24,19.82,89
9,1732310764.0,29,20.1,90
9,1732310826.0,26,20.69,90
9,1732310888.0,27,20.06,90
9,1732310951.0,27,20.75,90
9,1732311013.0,27,20.6,90
9,1732311075.0,24,21.0,90
9,1732311137.0,23,20.78,90
9,1732311199.0,23,20.53,91
9,1732311262.0,23,21.01,91
9,1732311324.0,24,20.7,91
9,1732311386.0,22,20.91,91
9,1732311448.0,21,21.13,91
9,1732311511.0,23,21.04,91
9,1732311573.0,24,21.24,88
9,1732311635.0,24,21.27,86
9,1732311697.0,25,21.28,82
9,1732311759.0,23,21.67,80
9,1732311822.0,22,21.54,80
9,1732311884.0,22,21.17,81
9,1732311946.0,24,20.97,81
9,1732312008.0,23,20.97,81
9,1732312070.0,25,21.06,82
9,1732312133.0,25,21.06,80
9,1732312195.0,26,21.17,81
9,1732312257.0,26,21.24,82
9,1732312319.0,26,21.47,80
9,1732312382.0,27,21.65,80
9,1732312444.0,25,21.74,79
9,1732312506.0,26,21.85,78
9,1732312568.0,26,21.9,78
9,1732312630.0,25,21.93,78
9,1732312693.0,25,22.0,77
9,1732312755.0,25,22.0,78
9,1732312817.0,25,21.96,78
9,1732312879.0,25,22.07,78
9,1732312942.0,25,22.13,78
9,1732313004.0,26,22.12,77
9,1732313066.0,25,22.14,77
