counter;datetime;PM1;PM2_5;PM4;PM10;NumPM0;NumPM1;NumPM2_5;NumPM4;NumPM10;PartSize;tempC;humidity;pressure;meta
25521;2025-01-01T00:00:27;18;18;18;18;135;153;153;153;153;0.54;22.13;41;88141;
25522;2025-01-01T00:01:29;18;19;19;19;135;154;154;154;154;0.58;22.15;41;88141;
25523;2025-01-01T00:02:31;17;18;18;18;128;146;147;147;147;0.59;22.2;41;88145;
25524;2025-01-01T00:03:33;17;17;17;17;125;142;143;143;143;0.57;22.33;41;88136;
25525;2025-01-01T00:04:35;17;18;18;18;130;147;148;148;148;0.55;22.43;40;88140;
25526;2025-01-01T00:05:37;20;20;20;20;150;170;171;171;171;0.54;22.46;40;88144;
25527;2025-01-01T00:06:40;21;22;22;22;160;182;183;183;183;0.56;22.51;40;88145;
25528;2025-01-01T00:07:42;22;22;22;22;161;183;184;184;184;0.57;22.47;39;88146;
25529;2025-01-01T00:08:44;23;24;24;24;174;198;198;198;198;0.57;22.45;40;88148;
25530;2025-01-01T00:09:46;27;27;28;28;200;227;228;228;228;0.58;22.5;40;88149;
25531;2025-01-01T00:10:48;29;31;31;31;219;250;251;251;251;0.58;22.52;41;88155;
25532;2025-01-01T00:11:50;33;36;37;37;244;280;283;283;283;0.58;22.49;39;88159;
25533;2025-01-01T00:12:53;32;35;36;36;237;271;274;274;274;0.58;22.52;39;88147;
25534;2025-01-01T00:13:55;32;34;35;36;238;272;274;275;275;0.6;22.33;40;88148;
25535;2025-01-01T00:14:57;35;37;39;39;253;291;294;294;294;0.61;22.4;39;88146;
25536;2025-01-01T00:15:59;30;32;33;33;225;257;259;259;259;0.57;22.33;39;88148;
25537;2025-01-01T00:17:01;30;31;32;32;222;254;255;255;255;0.57;22.42;38;88150;
25538;2025-01-01T00:18:04;27;28;28;28;201;228;229;229;229;0.57;22.24;39;88148;
25539;2025-01-01T00:19:06;28;30;30;30;212;241;243;243;243;0.59;22.3;39;88143;
25540;2025-01-01T00:20:08;31;32;33;33;227;259;261;261;261;0.61;22.34;40;88149;
25541;2025-01-01T00:21:10;32;34;34;35;238;271;273;273;273;0.61;22.28;40;88145;
25542;2025-01-01T00:22:12;30;32;33;34;221;253;255;256;256;0.61;22.17;40;88145;
25543;2025-01-01T00:23:14;28;29;30;30;207;236;237;237;237;0.58;21.76;42;88148;
25544;2025-01-01T00:24:17;25;26;26;26;190;216;216;216;216;0.58;21.61;41;88138;
25545;2025-01-01T00:25:19;25;26;26;26;188;214;215;215;215;0.57;21.49;42;88135;
25546;2025-01-01T00:26:21;25;26;26;26;188;213;214;214;214;0.55;21.52;43;88132;
25547;2025-01-01T00:27:23;24;25;25;25;182;207;207;207;207;0.55;21.66;42;88134;
25548;2025-01-01T00:28:25;21;22;22;22;161;183;183;183;183;0.55;21.74;41;88132;
25549;2025-01-01T00:29:27;18;18;19;19;136;154;155;155;155;0.56;21.47;42;88130;
25550;2025-01-01T00:30:30;19;19;19;19;139;158;158;158;158;0.54;21.47;42;88135;
25551;2025-01-01T00:31:32;17;18;18;18;131;149;149;149;149;0.53;21.6;41;88131;
25552;2025-01-01T00:32:34;18;19;19;19;137;156;156;156;156;0.58;21.68;41;88132;
25553;2025-01-01T00:33:36;18;18;18;18;135;153;153;153;153;0.56;21.64;41;88126;
25554;2025-01-01T00:34:38;19;19;19;19;139;158;159;159;159;0.56;21.57;42;88133;
25555;2025-01-01T00:35:40;19;20;20;20;144;164;164;164;164;0.6;21.64;41;88131;
25556;2025-01-01T00:36:43;19;20;20;20;142;161;162;162;162;0.59;21.63;41;88130;
25557;2025-01-01T00:37:45;19;20;20;20;144;164;164;164;164;0.56;21.6;42;88128;
25558;2025-01-01T00:38:47;19;19;19;19;142;162;162;162;162;0.55;21.67;41;88138;
25559;2025-01-01T00:39:49;20;20;21;21;146;166;167;167;167;0.59;21.54;41;88134;
25560;2025-01-01T00:40:51;19;20;21;21;141;161;162;162;162;0.61;21.26;41;88132;
25561;2025-01-01T00:41:53;19;20;21;21;143;163;164;164;164;0.6;21.2;42;88131;
25562;2025-01-01T00:42:56;19;20;20;21;137;157;158;158;158;0.6;21.21;42;88131;
25563;2025-01-01T00:43:58;19;20;21;21;144;164;165;166;166;0.6;21.34;41;88128;
25564;2025-01-01T00:45:00;18;19;20;20;137;157;157;157;157;0.6;21.21;42;88125;
25565;2025-01-01T00:46:02;17;18;18;18;127;145;146;146;146;0.59;21.1;42;88131;
25566;2025-01-01T00:47:04;17;18;19;19;128;146;147;147;147;0.61;21.13;42;88129;
25567;2025-01-01T00:48:06;16;17;18;18;119;136;137;138;138;0.6;21.24;41;88129;
25568;2025-01-01T00:49:09;17;18;19;19;129;148;149;149;149;0.59;21.46;41;88130;
25569;2025-01-01T00:50:11;19;20;20;21;138;158;159;159;159;0.61;21.55;40;88124;
25570;2025-01-01T00:51:13;17;18;19;19;127;145;146;146;146;0.6;21.52;42;88126;
25571;2025-01-01T00:52:15;18;19;20;20;137;156;157;157;157;0.6;21.26;43;88132;
25572;2025-01-01T00:53:17;18;20;20;21;136;156;157;158;158;0.61;21.15;42;88124;
25573;2025-01-01T00:54:19;19;20;21;21;136;156;158;158;158;0.6;20.95;43;88131;
25574;2025-01-01T00:55:22;16;18;18;19;121;139;140;140;140;0.63;20.98;42;88115;
25575;2025-01-01T00:56:24;16;17;17;18;115;132;133;134;134;0.63;20.97;43;88123;
25576;2025-01-01T00:57:26;17;18;18;18;126;144;145;145;145;0.59;21.0;42;88123;
25577;2025-01-01T00:58:28;17;17;17;17;124;141;142;142;142;0.58;20.89;43;88123;
25578;2025-01-01T00:59:30;16;17;17;17;123;139;140;140;140;0.57;20.85;43;88123;
25579;2025-01-01T01:00:33;16;17;17;17;121;138;138;138;138;0.59;20.91;43;88123;
25580;2025-01-01T01:01:35;15;16;16;16;111;126;127;127;127;0.57;21.11;42;88125;
25581;2025-01-01T01:02:37;16;17;17;17;115;132;133;133;133;0.59;21.26;42;88116;
25582;2025-01-01T01:03:39;14;15;15;15;107;122;123;123;123;0.6;21.16;42;88118;
25583;2025-01-01T01:04:41;14;15;15;15;106;121;121;121;121;0.58;20.94;43;88120;
25584;2025-01-01T01:05:43;15;15;15;15;109;124;124;124;124;0.58;20.79;42;88114;
25585;2025-01-01T01:06:46;14;14;14;14;103;117;118;118;118;0.57;20.65;42;88120;
25586;2025-01-01T01:07:48;15;15;15;15;109;124;124;124;124;0.58;20.68;43;88121;
25587;2025-01-01T01:08:50;14;15;15;15;104;118;119;119;119;0.6;20.8;42;88118;
25588;2025-01-01T01:09:52;14;14;15;15;103;117;118;118;118;0.6;20.63;42;88114;
25589;2025-01-01T01:10:54;13;13;14;14;95;109;109;109;109;0.61;20.67;42;88112;
25590;2025-01-01T01:11:56;15;16;16;16;111;127;127;127;127;0.61;20.67;42;88115;
25591;2025-01-01T01:12:59;14;15;16;16;107;122;123;123;123;0.59;20.67;42;88109;
25592;2025-01-01T01:14:01;15;15;16;16;109;124;125;125;125;0.6;20.65;42;88116;
