counter;datetime;PM1;PM2_5;PM4;PM10;NumPM0;NumPM1;NumPM2_5;NumPM4;NumPM10;PartSize;tempC;humidity;pressure;meta
0;2025-01-01T05:42:00;10;11;12;12;72;84;85;85;85;0.60;23.55;33;88146;SPSA0014_8A4DBB988684FD73
1;2025-01-01T05:43:02;10;11;11;12;78;89;89;89;89;0.56;23.61;33;88148;
2;2025-01-01T05:44:05;10;10;11;11;74;84;85;85;85;0.55;23.64;33;88148;
3;2025-01-01T05:45:07;9;10;10;10;68;78;79;79;79;0.53;23.64;33;88151;
4;2025-01-01T05:46:09;10;10;11;11;74;85;85;85;85;0.52;23.69;33;88157;
5;2025-01-01T05:47:11;10;10;10;10;75;85;86;86;86;0.51;23.73;33;88162;
6;2025-01-01T05:48:14;9;10;10;10;69;79;79;79;79;0.53;23.78;32;88152;
7;2025-01-01T05:49:16;10;11;11;11;74;85;86;86;86;0.53;23.82;33;88158;
8;2025-01-01T05:50:18;10;11;11;11;76;87;87;87;87;0.53;23.86;33;88159;
9;2025-01-01T05:51:20;10;10;10;10;72;82;83;83;83;0.53;23.91;32;88157;
10;2025-01-01T05:52:22;10;11;11;11;74;85;85;85;85;0.54;23.95;33;88159;
11;2025-01-01T05:53:25;10;11;11;11;76;87;88;88;88;0.54;23.99;33;88162;
12;2025-01-01T05:54:27;10;11;11;11;74;85;85;85;85;0.53;24.02;32;88159;
13;2025-01-01T05:55:29;10;10;10;10;72;82;82;82;82;0.53;24.07;32;88167;
14;2025-01-01T05:56:31;10;10;10;10;73;83;84;84;84;0.53;24.10;32;88153;
15;2025-01-01T05:57:34;10;10;10;10;71;81;82;82;82;0.53;24.12;32;88159;
16;2025-01-01T05:58:36;9;9;9;9;69;79;79;79;79;0.51;24.16;32;88166;
17;2025-01-01T05:59:38;9;10;10;10;70;80;80;80;80;0.51;24.18;32;88169;
18;2025-01-01T06:00:40;10;10;11;11;76;87;87;87;87;0.53;24.16;32;88166;
19;2025-01-01T06:01:42;10;11;11;11;76;87;87;87;87;0.54;24.20;32;88166;
20;2025-01-01T06:02:45;10;10;10;10;73;83;83;83;83;0.52;24.23;32;88165;
21;2025-01-01T06:03:47;10;10;10;10;71;81;82;82;82;0.53;24.25;32;88163;
22;2025-01-01T06:04:49;10;11;11;11;74;85;86;86;86;0.54;24.23;32;88160;
23;2025-01-01T06:05:51;10;11;11;11;74;84;85;85;85;0.54;24.27;32;88162;
24;2025-01-01T06:06:54;11;11;12;12;80;92;92;92;92;0.54;24.28;32;88161;
25;2025-01-01T06:07:56;11;12;12;12;83;95;95;95;95;0.54;24.26;32;88167;
26;2025-01-01T06:08:58;13;13;13;13;94;107;108;108;108;0.53;24.26;32;88164;
27;2025-01-01T06:10:00;13;14;14;14;95;108;109;109;109;0.55;24.22;32;88164;
28;2025-01-01T06:11:02;11;12;12;13;84;96;97;97;97;0.55;24.29;32;88171;
29;2025-01-01T06:12:05;12;13;14;14;92;105;106;106;106;0.56;24.33;31;88163;
30;2025-01-01T06:13:07;12;13;13;13;88;101;102;102;102;0.57;24.33;31;88163;
31;2025-01-01T06:14:09;13;14;14;14;94;108;109;109;109;0.56;24.31;32;88169;
32;2025-01-01T06:15:11;12;13;14;14;91;104;105;105;105;0.56;24.33;31;88163;
33;2025-01-01T06:16:14;12;13;14;14;91;104;105;105;105;0.54;24.35;31;88169;
34;2025-01-01T06:17:16;12;13;14;14;92;105;106;106;106;0.54;24.37;31;88173;
35;2025-01-01T06:18:18;13;14;14;14;91;105;106;106;106;0.54;24.40;31;88175;
36;2025-01-01T06:19:20;12;13;13;13;90;103;103;103;103;0.53;24.39;31;88168;
37;2025-01-01T06:20:22;12;13;13;13;89;102;103;103;103;0.54;24.40;32;88177;
38;2025-01-01T06:21:25;12;13;14;14;88;102;103;103;103;0.57;24.42;31;88169;
39;2025-01-01T06:22:27;12;14;15;15;87;102;103;103;103;0.59;24.42;31;88174;
40;2025-01-01T06:23:29;13;14;16;16;90;104;106;107;107;0.60;24.41;31;88173;
41;2025-01-01T06:24:31;12;13;14;14;90;103;105;105;105;0.56;24.38;31;88172;
42;2025-01-01T06:25:34;13;14;14;14;94;108;109;109;109;0.56;24.43;31;88174;
43;2025-01-01T06:26:36;12;13;14;14;91;104;105;105;105;0.56;24.41;31;88176;
44;2025-01-01T06:27:38;13;14;15;15;92;106;107;107;107;0.56;24.44;31;88180;
45;2025-01-01T06:28:40;12;13;14;14;90;103;104;104;104;0.55;24.45;31;88176;
46;2025-01-01T06:29:43;13;13;14;14;92;106;106;106;106;0.56;24.45;31;88187;
47;2025-01-01T06:30:45;13;14;14;14;95;108;109;109;109;0.57;24.46;31;88180;
48;2025-01-01T06:31:47;13;14;15;15;96;110;111;111;111;0.58;24.49;31;88179;
49;2025-01-01T06:32:49;13;14;15;15;96;111;112;112;112;0.57;24.47;31;88176;
50;2025-01-01T06:33:51;13;14;15;15;94;108;110;110;110;0.58;24.44;31;88180;
51;2025-01-01T06:34:54;13;14;15;15;95;110;111;111;111;0.58;24.48;31;88185;
52;2025-01-01T06:35:56;13;14;15;15;93;108;109;109;109;0.59;24.51;31;88184;
53;2025-01-01T06:36:58;12;14;15;15;89;103;104;105;105;0.58;24.51;31;88187;
54;2025-01-01T06:38:00;12;13;13;14;86;99;100;100;100;0.56;24.51;31;88187;
55;2025-01-01T06:39:03;13;14;14;14;92;106;107;107;107;0.53;24.52;31;88181;
56;2025-01-01T06:40:05;12;13;14;14;90;104;105;105;105;0.53;24.54;31;88188;
57;2025-01-01T06:41:07;12;13;13;14;86;98;99;100;100;0.56;24.51;31;88184;
58;2025-01-01T06:42:09;12;13;14;14;87;100;102;102;102;0.57;24.52;31;88189;
59;2025-01-01T06:43:12;13;14;14;15;96;110;111;111;111;0.54;24.53;31;88195;
60;2025-01-01T06:44:14;11;12;12;13;84;96;97;97;97;0.56;24.55;31;88192;
61;2025-01-01T06:45:16;12;13;13;13;88;100;101;101;101;0.54;24.56;31;88191;
62;2025-01-01T06:46:18;12;13;14;14;91;104;105;105;105;0.57;24.56;31;88191;
63;2025-01-01T06:47:20;13;15;16;16;94;109;111;111;111;0.58;24.56;31;88196;
64;2025-01-01T06:48:23;13;15;16;16;95;110;111;111;111;0.56;24.55;31;88195;
65;2025-01-01T06:49:25;12;14;15;15;91;105;106;106;106;0.57;24.55;31;88195;
66;2025-01-01T06:50:27;12;13;14;14;88;101;102;102;102;0.57;24.56;31;88196;
67;2025-01-01T06:51:29;11;12;13;13;83;96;97;97;97;0.56;24.57;31;88198;
68;2025-01-01T06:52:32;12;13;14;14;87;101;102;102;102;0.57;24.57;31;88204;
69;2025-01-01T06:53:34;13;14;14;15;91;105;106;106;106;0.58;24.58;31;88205;
70;2025-01-01T06:54:36;12;13;14;14;89;102;104;104;104;0.58;24.59;31;88203;
71;2025-01-01T06:55:38;13;14;15;15;91;106;107;107;107;0.57;24.61;31;88211;
72;2025-01-01T06:56:40;12;13;13;13;87;99;100;100;100;0.54;24.55;31;88212;
73;2025-01-01T06:57:43;12;13;13;13;87;99;100;100;101;0.57;24.57;31;88214;
74;2025-01-01T06:58:45;11;12;13;13;82;95;96;96;96;0.57;24.56;31;88218;
75;2025-01-01T06:59:47;12;13;13;14;86;99;100;100;100;0.57;24.57;31;88206;
76;2025-01-01T07:00:49;11;13;13;14;82;95;96;96;96;0.59;24.48;31;88215;
77;2025-01-01T07:01:52;12;13;14;14;84;97;99;99;99;0.59;24.52;31;88218;
78;2025-01-01T07:02:54;12;13;13;14;86;99;100;100;100;0.57;24.53;31;88220;
79;2025-01-01T07:03:56;12;13;14;14;88;101;102;102;102;0.56;24.53;31;88222;
80;2025-01-01T07:04:58;12;13;13;13;85;98;99;99;99;0.56;24.56;30;88224;
81;2025-01-01T07:06:01;12;14;15;15;87;101;103;103;103;0.59;24.60;31;88231;
82;2025-01-01T07:07:03;12;14;16;16;88;103;105;105;105;0.61;24.61;31;88222;
83;2025-01-01T07:08:05;12;13;15;15;82;96;98;98;98;0.60;24.57;31;88235;
84;2025-01-01T07:09:07;11;13;14;14;82;95;97;97;97;0.59;24.62;31;88231;
85;2025-01-01T07:10:09;12;13;14;14;84;97;98;98;98;0.57;24.59;31;88233;
86;2025-01-01T07:11:12;11;12;12;13;80;92;93;93;93;0.56;24.63;31;88235;
87;2025-01-01T07:12:14;11;13;13;14;83;96;97;97;97;0.58;24.67;31;88244;
88;2025-01-01T07:13:16;11;12;12;12;82;94;94;95;95;0.55;24.65;30;88236;
89;2025-01-01T07:14:18;11;11;12;12;80;92;92;92;92;0.56;24.64;31;88240;
90;2025-01-01T07:15:21;11;12;12;13;83;95;96;96;96;0.57;24.69;30;88244;
91;2025-01-01T07:16:23;11;13;13;14;82;95;96;96;96;0.59;24.71;31;88249;
92;2025-01-01T07:17:25;12;13;14;15;87;101;102;102;102;0.58;24.69;31;88252;
93;2025-01-01T07:18:27;11;12;13;13;79;91;92;93;93;0.57;24.72;31;88253;
94;2025-01-01T07:19:29;11;13;13;14;83;96;97;97;97;0.58;24.73;31;88264;
95;2025-01-01T07:20:32;11;12;13;14;77;90;92;92;92;0.60;24.72;30;88261;
96;2025-01-01T07:21:34;11;12;13;13;78;90;91;92;92;0.59;24.75;31;88265;
97;2025-01-01T07:22:36;11;12;12;12;79;91;91;92;92;0.56;24.77;31;88265;
98;2025-01-01T07:23:38;11;12;12;13;79;91;92;92;92;0.56;24.77;31;88265;
99;2025-01-01T07:24:41;11;12;12;13;79;91;92;92;92;0.57;24.77;31;88273;
100;2025-01-01T07:25:43;10;11;12;12;75;87;88;88;88;0.55;24.84;30;88272;
101;2025-01-01T07:26:45;11;11;12;12;77;89;90;90;90;0.56;24.87;30;88279;
102;2025-01-01T07:27:47;11;12;12;12;79;91;92;92;92;0.55;24.84;31;88275;
103;2025-01-01T07:28:49;11;11;12;12;80;92;92;92;92;0.55;24.88;30;88275;
104;2025-01-01T07:29:52;10;11;11;11;75;86;87;87;87;0.57;24.93;30;88278;
105;2025-01-01T07:30:54;11;12;12;12;79;90;91;91;91;0.57;24.95;30;88282;
106;2025-01-01T07:31:56;11;11;12;12;77;89;89;89;89;0.55;24.86;31;88278;
107;2025-01-01T07:32:58;12;13;13;13;84;97;98;98;98;0.54;24.89;31;88278;
108;2025-01-01T07:34:01;12;13;13;14;86;99;100;100;100;0.55;24.95;30;88284;
109;2025-01-01T07:35:03;12;13;13;14;88;101;102;102;102;0.56;24.95;31;88284;
110;2025-01-01T07:36:05;11;12;13;13;83;96;96;97;97;0.57;24.94;31;88285;
111;2025-01-01T07:37:07;11;12;12;12;82;94;95;95;95;0.55;24.97;30;88285;
112;2025-01-01T07:38:10;11;12;13;13;84;97;97;98;98;0.57;25.00;30;88289;
113;2025-01-01T07:39:12;11;12;13;13;82;94;95;95;95;0.55;25.06;29;88290;
114;2025-01-01T07:40:14;12;13;13;14;89;102;103;103;103;0.53;24.98;31;88289;
115;2025-01-01T07:41:16;12;13;13;13;90;102;103;103;103;0.54;24.99;31;88287;
116;2025-01-01T07:42:18;12;13;13;13;87;99;100;100;100;0.54;25.05;31;88292;
117;2025-01-01T07:43:21;11;11;12;12;80;92;92;92;92;0.54;25.08;31;88301;
118;2025-01-01T07:44:23;11;12;12;12;81;93;93;93;93;0.55;25.07;31;88303;
119;2025-01-01T07:45:25;11;11;12;12;80;91;92;92;92;0.55;25.14;30;88296;
120;2025-01-01T07:46:27;11;12;13;13;81;93;94;94;94;0.55;25.16;30;88299;
121;2025-01-01T07:47:30;12;13;14;14;89;102;103;103;103;0.57;25.18;31;88301;
122;2025-01-01T07:48:32;12;13;13;13;88;100;101;101;101;0.54;25.19;31;88303;
123;2025-01-01T07:49:34;11;12;12;13;80;92;93;93;93;0.58;25.21;31;88306;
124;2025-01-01T07:50:36;11;12;12;13;81;93;93;94;94;0.56;25.21;31;88308;
125;2025-01-01T07:51:38;11;12;12;12;83;95;96;96;96;0.55;25.26;30;88310;
126;2025-01-01T07:52:41;12;12;12;13;85;97;98;98;98;0.56;25.25;31;88308;
127;2025-01-01T07:53:43;11;12;12;12;83;95;96;96;96;0.55;25.28;30;88310;
128;2025-01-01T07:54:45;10;11;11;11;77;88;88;88;88;0.53;25.29;30;88306;
129;2025-01-01T07:55:47;12;13;13;13;89;102;103;103;103;0.55;25.36;30;88315;
130;2025-01-01T07:56:50;11;12;12;12;78;90;91;91;91;0.57;25.40;30;88313;
131;2025-01-01T07:57:52;11;12;13;13;83;95;96;96;96;0.56;25.39;30;88314;
132;2025-01-01T07:58:54;11;11;12;12;78;89;90;90;90;0.54;25.45;30;88316;
133;2025-01-01T07:59:56;11;12;12;12;82;94;95;95;95;0.56;25.48;30;88320;
134;2025-01-01T08:00:59;11;12;12;12;83;95;96;96;96;0.56;25.48;30;88329;
135;2025-01-01T08:02:01;12;13;13;14;89;102;103;103;103;0.57;25.50;30;88323;
